ID;Name;Last Name A;Last Name B;Mail;Phone Number;Province;Exact Address
1;Andrea;Marin;Fernandez;andrea@ucr.ac.cr;87031457;Cartago;Central, Central, 200 oeste plaza central
2;Andres;Fernandez;Arquín;andres@ucr.ac.cr;85902353;Alajuela;La Garita, frente a Distribuidora ABC
3;Julian;Mora;Umaña;julian@ucr.ac.cr;87223019;Heredia;San Pablo, diagonal a taller MM
4;Julian;Mora;Umaña;julian@ucr.ac.cr;87223019;Heredia;San Pablo, diagonal a taller MM
5;jesus;Torres;Rodriguez;dljeatsrun@gmail.com;888;Alajuela;fsd
6;felipe;torres;Rodri;dljeatsrun@gmail.com;666;San Jose;asd
9;sgd;dfg;dfg;dljeatsrun@gmail.com;dfgd;Alajuela;dfg
7;prueba;asdasd;asdasd;dljeatsrun@gmail.com;asdas;Heredia;asdasd
8;asd;asd;asd;dljeatsrun@gmail.com;asd;Cartago;asd
10;prueba;asdasd;asdasd;dljeatsrun@gmail.com;asdas;Heredia;asdasd
11;prueba;asdasd;asdasd;dljeatsrun@gmail.com;asdas;Heredia;asdasd
12;prueba;asdasd;asdasd;dljeatsrun@gmail.com;asdas;Heredia;asdasd
13;e;sdf;sdf;dljeatsrun@gmail.com;sdf;Cartago;sdf
14;fff;fff;ff;dljeatsrun@gmail.com;ff;Cartago;ffff
15;sdfdsf;dsdfsdf;sdfs;dljeatsrun@gmail.com;sdf;Puntarenas;sdf
16;sdas;asda;asdas;dljeatsrun@gmail.com;asdas;Guanacaste;asdasd
17;jesus;Torres;Rodriguez;dljeatsrun@gmail.com;8888;Cartago;sdfsdfs
18;felipe;ttt;ttt;dljeatsrun@gmail.com;444;Heredia;wererwe
19;Felipe;torres;Rodriguez;dljeatsrun@gmail.com;88888;Alajuela;adadas
20;felipe;ttt;ttt;dljeatsrun@gmail.com;444;Heredia;wererwe
21;;;;dljeatsrun@gmail.com;;Seleccione una Provincia;
22;Felipe;Torres;Rodríguez;dljeatsrun@gmail.com;555;Heredia;345
23;Jose;sdfs;sdf;dljeatsrun@gmail.com;sdf;Puntarenas;sdf
