Name,UserName,Mail,Password,Code,Kind of User
Bernal,ber123,qwert@mail,5aadb45520dcd8726b2822a7a78bb53d794f557199d5d4abdedd2c55a4bd6ca73607605c558de3db80c8e86c3196484566163ed1327e82e8b6757d1932113cb8,0,agent
BerDani,dan666,berdani@mail.com,d2029049c436ee05f87421cfa79a8797f24ea04909eab42c2abfc1f68268e5d5e33388e2513aa72223f57003a71d27e7337c65bbe27473f895663c0f1b165474,0,agent
Dani,dani,dani@mail.com,48fb10b15f3d44a09dc82d02b06581e0c0c69478c9fd2cf8f9093659019a1687baecdbb38c9e72b12169dc4148690f87467f9154f5931c5df665c6496cbfd5f5,0,agent
Bernal Daniel,cross,cross@mail.co,401b09eab3c013d4ca54922bb802bec8fd5318192b0a75f201d8b3727429080fb337591abd3e44453b954555b7a0812e1081c39b740293f765eae731f5a65ed1,0,agent
Bernal Daniel,cross2,cross@ma.ss,2e96772232487fb3a058d58f2c310023e07e4017c94d56cc5fae4b54b44605f42a75b0b1f358991f8c6cbe9b68b64e5b2a09d0ad23fcac07ee9a9198a745e1d5,0,agent
CarolinaAndrea,caro,caro@mail.com,14e6f5b87ac5c6de7a0eb82d1e11df7374aa797bb6a8ca55241a68dafa96a4d11ad27c66a5c5621d35a23a36b84d8c257646935951f1fe667dbf482e4a9ea773,11,agent
CarolinaAndreaEspinoza,caroaer,caroaer@mail.com,14e6f5b87ac5c6de7a0eb82d1e11df7374aa797bb6a8ca55241a68dafa96a4d11ad27c66a5c5621d35a23a36b84d8c257646935951f1fe667dbf482e4a9ea773,11,agent
AndreaEspinoza,andre,andrea@mail.es,de6bcbd90ff00c604a836fe2a0959c6a86aeabd440d8982970613edff3cd27996cd4a21c005e4dd4dca89c9a5d7a46fa9d97d2b220521dddf3b376fd04f2d0ba,12,agent
CaroAndreaEspinozaR,andreAER,caroandrea@mail.es,de6bcbd90ff00c604a836fe2a0959c6a86aeabd440d8982970613edff3cd27996cd4a21c005e4dd4dca89c9a5d7a46fa9d97d2b220521dddf3b376fd04f2d0ba,12,agent
AndreaEspinozaRojas,andrea,andreaERs@mail.es,de6bcbd90ff00c604a836fe2a0959c6a86aeabd440d8982970613edff3cd27996cd4a21c005e4dd4dca89c9a5d7a46fa9d97d2b220521dddf3b376fd04f2d0ba,12,agent
JesusTorresT,JeTo,jesusTTe@we.we,a34e593e25e68153f197933c6c7eccd6c2e2f4aafb7c0cf27f521d18fdade19b98692692243f45543d9bb15c881412d142ff740defa1ccb7109dcfe3ff1f5f59,13,agent
nombre,usuario,mail@mail.cm,2acdcd7a6497cc2702c9f3cf87d4ac93562676841bc518ccd7f0a0061b4a58c4928b9115e2fdc32dfe3e3bdf80a2119a6d39c3125b16e0e7085a65c3777585bc,21,agent
AmazonBasics,AmazonBasics,amazon@mail.com,4b0ab7b94e92a4f175774a4ad8a9a8c4d273671086ef091a689d63d3752a53ba043a1daf6204c9d4043b24bb42e18903029b43acd5efeabf7f368c26d532ab6e,13,agent
Mago,de oz,mdoz@mail.celta,f14aae6a0e050b74e4b7b9a5b2ef1a60ceccbbca39b132ae3e8bf88d3a946c6d8687f3266fd2b626419d8b67dcf1d8d7c0fe72d4919d9bd05efbd37070cfb41a,14,agent
